,企業名 車両型式,画像,車名＆グレード,タイヤ外径 タイヤサイズ [最低地上高] 100kmh回転数,排気量 変速機
0,ベンツ -,,2016/04 Gクラス 4x4 G550 4x4 Squared W463 型式不明,916mm 325/55R22 [460mm] -,M176 4.0L/TT 4WD/7AT SUV
1,ベンツ 型式不明 Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデルタイヤ外径916mmタイヤサイズ325/55R22最低地上高460mm100km/h回転数-エンジン型式M176型 4.0L/TT車体構成5人乗りSUV 4WD/7AT,ベンツ 型式不明 Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデルタイヤ外径916mmタイヤサイズ325/55R22最低地上高460mm100km/h回転数-エンジン型式M176型 4.0L/TT車体構成5人乗りSUV 4WD/7AT,ベンツ 型式不明 Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデルタイヤ外径916mmタイヤサイズ325/55R22最低地上高460mm100km/h回転数-エンジン型式M176型 4.0L/TT車体構成5人乗りSUV 4WD/7AT,ベンツ 型式不明 Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデルタイヤ外径916mmタイヤサイズ325/55R22最低地上高460mm100km/h回転数-エンジン型式M176型 4.0L/TT車体構成5人乗りSUV 4WD/7AT,ベンツ 型式不明 Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデルタイヤ外径916mmタイヤサイズ325/55R22最低地上高460mm100km/h回転数-エンジン型式M176型 4.0L/TT車体構成5人乗りSUV 4WD/7AT
2,ベンツ 型式不明,ベンツ 型式不明,,,
3,Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデル,Gクラス 4x4 [G550 4x4 Squared W463] 2016/04モデル,,,
4,タイヤ外径,916mm,,,
5,タイヤサイズ,325/55R22,,,
6,最低地上高,460mm,,,
7,100km/h回転数,-,,,
8,エンジン型式,M176型 4.0L/TT,,,
9,車体構成,5人乗りSUV 4WD/7AT,,,
10,HUMMER -,,2006/12 H2 type-G 型式不明,873mm 315/70R17 - 1720rpm,- 6.0L/NA 4WD/4AT SUV
11,HUMMER 型式不明 H2 [type-G] 2006/12モデルタイヤ外径873mmタイヤサイズ315/70R17最低地上高-100km/h回転数1720rpm排気量/吸気方式6.0L/NA車体構成6人乗りSUV 4WD/4AT,HUMMER 型式不明 H2 [type-G] 2006/12モデルタイヤ外径873mmタイヤサイズ315/70R17最低地上高-100km/h回転数1720rpm排気量/吸気方式6.0L/NA車体構成6人乗りSUV 4WD/4AT,HUMMER 型式不明 H2 [type-G] 2006/12モデルタイヤ外径873mmタイヤサイズ315/70R17最低地上高-100km/h回転数1720rpm排気量/吸気方式6.0L/NA車体構成6人乗りSUV 4WD/4AT,HUMMER 型式不明 H2 [type-G] 2006/12モデルタイヤ外径873mmタイヤサイズ315/70R17最低地上高-100km/h回転数1720rpm排気量/吸気方式6.0L/NA車体構成6人乗りSUV 4WD/4AT,HUMMER 型式不明 H2 [type-G] 2006/12モデルタイヤ外径873mmタイヤサイズ315/70R17最低地上高-100km/h回転数1720rpm排気量/吸気方式6.0L/NA車体構成6人乗りSUV 4WD/4AT
12,HUMMER 型式不明,HUMMER 型式不明,,,
13,H2 [type-G] 2006/12モデル,H2 [type-G] 2006/12モデル,,,
14,タイヤ外径,873mm,,,
15,タイヤサイズ,315/70R17,,,
16,最低地上高,-,,,
17,100km/h回転数,1720rpm,,,
18,排気量/吸気方式,6.0L/NA,,,
19,車体構成,6人乗りSUV 4WD/4AT,,,
20,キャデ ラック T1UL,,2020/11 エスカレード Platinum [7BA-T1UL型],834mm 275/50R22 - 1310rpm,L87 6.2L/NA 4WD/10AT SUV
